store_id,company_name,store_name,ubereats_status,doordash_status,grubhub_status,pipeline_stage,onboarding_status
1d5cb5f4-2710-4a71-94a8-c2d3f4c0a7e2,"Gawfco Enterprises, Inc.",Fast Fill Market Brea (3300 East Imperial Hwy),ID Present,ID Present,ID Present,Pending Launch,In progress
27982272-2d6d-428f-ad12-c4209335e470,"Gawfco Enterprises, Inc.",Fast Fill Market Calexico (940 South Imperial Ave),ID Present,ID Present,ID Present,Pending Launch,In progress
f3a58d65-9711-49a1-bf8b-9c0de3b471c5,"Gawfco Enterprises, Inc.",Fast Fill Market Castro Valley (2445 Castro Valley Blvd),ID Present,ID Present,ID Present,Pending Launch,In progress
cea314b1-8229-4c47-a4ad-f9869e431d53,"Gawfco Enterprises, Inc.",Fast Fill Market Concord (4190 Treat Blvd),ID Present,ID Present,ID Present,Pending Launch,In progress
ca39e217-5b77-4dbf-a557-37f92b325af5,"Gawfco Enterprises, Inc.",Fast Fill Market Daly City (6989 Mission St),ID Present,ID Present,ID Present,Pending Launch,In progress
e9656c5c-0394-4927-ba44-1d34ffcda0df,"Gawfco Enterprises, Inc.",Fast Fill Market El Centro (2115 South 4th St),ID Present,ID Present,ID Present,Pending Launch,In progress
e31931ef-1821-4811-956b-95fc65176eac,"Gawfco Enterprises, Inc.",Fast Fill Market Foster City (501 Foster City Blvd),ID Present,ID Present,ID Present,Pending Launch,In progress
4cd49f8a-da67-4a6c-91ae-7da96c278320,"Gawfco Enterprises, Inc.",Fast Fill Market Fremont (5505 Stevenson Blvd),ID Present,ID Present,ID Present,Pending Launch,In progress
120ec0be-2b94-446a-8dc6-c7ffed83b5f4,"Gawfco Enterprises, Inc.",Fast Fill Market Fresno (5605 E Kings Canyon Rd),ID Present,ID Present,ID Present,Pending Launch,In progress
3153b2c3-7430-4d3e-acb1-2f8208602cdc,"Gawfco Enterprises, Inc.",Fast Fill Market Larkfield (4605 Old Redwood Hwy),ID Present,ID Present,ID Present,Pending Launch,In progress
245b10c4-2bda-4481-a070-5d950624bcce,"Gawfco Enterprises, Inc.",Fast Fill Market Livermore (115 South Vasco Rd),ID Present,ID Present,ID Present,Pending Launch,In progress
6f56bcd0-558b-4a30-8108-7844f4df3312,"Gawfco Enterprises, Inc.",Fast Fill Market Lompoc (1001 North H St),ID Present,ID Present,ID Present,Pending Launch,In progress
84d05116-2134-4eca-b3d1-d3f1c92b749d,"Gawfco Enterprises, Inc.",Fast Fill Market Marina (416 Reservation Rd),ID Present,ID Present,ID Present,Pending Launch,In progress
848602ef-768b-46d7-8a56-bb515a16907a,"Gawfco Enterprises, Inc.",Fast Fill Market Milpitas (190 West Calaveras Blvd),ID Present,ID Present,ID Present,Pending Launch,In progress
bd64b741-6a88-416a-ad3e-69b1f6a6bebb,"Gawfco Enterprises, Inc.",Fast Fill Market Phoenix (102 S 24th St),ID Present,ID Present,ID Present,Pending Launch,In progress
6b4d7122-de5d-411f-bf9a-289bc1b768ba,"Gawfco Enterprises, Inc.",Fast Fill Market Pleasanton (4191 First St),ID Present,ID Present,ID Present,Pending Launch,In progress
ace8b8fb-136e-45d7-ad5e-fd3c47cf83b5,"Gawfco Enterprises, Inc.",Fast Fill Market Prunedale (1040 El Camino Real North),ID Present,ID Present,ID Present,Pending Launch,In progress
8f6e6978-1a9c-4069-8444-ebce48402011,"Gawfco Enterprises, Inc.",Fast Fill Market Redwood City (844 5th Ave),ID Present,ID Present,ID Present,Pending Launch,In progress
4d4a9ae7-3530-4e7f-89d6-32295102a95c,"Gawfco Enterprises, Inc.",Fast Fill Market San Francisco Lombard St (2498 Lombard St),ID Present,ID Present,ID Present,Pending Launch,In progress
2cbaac4b-3f10-4bbb-a9ea-ee4cf895e7e5,"Gawfco Enterprises, Inc.",Fast Fill Market San Francisco Mission St (4298 Mission St),ID Present,ID Present,ID Present,Pending Launch,In progress
a50d629f-f055-4d9e-ba88-60de9697f2a4,"Gawfco Enterprises, Inc.",Fast Fill Market San Jose (827 S 1st St),ID Present,ID Present,ID Present,Pending Launch,In progress
