Store ID,store_name,DSP ID,DSP Name
a9151ec8-519a-4f20-8538-12d5adcebb8f,Mall Parkway Food Mart,a6a513f1-e56c-563a-8e76-85df76d292c2,UberEats
6c13e955-0f1e-44ee-8362-8f24fcf55c0c,Exxon Belcamp,9311dddd-7f7c-5a0f-8c31-2208087f1c90,UberEats
b609e84a-a9c5-490b-9f2c-ed1793375d00,Aberdeen Shell,67dfd2d0-ba7e-57a4-bb81-27fb243ecc58,UberEats
c1d48ef6-8a97-4b8e-8c04-b03854744a40,Tiger Mart (Sunny),0923f468-2142-59aa-953e-0b1d56b52149,UberEats
91992160-e02c-43fe-99ac-2818dd64b4d5,Tiger Mart #20,3ed4894c-79bd-5b27-8bc4-6c3c0954efd3,UberEats
fa006e27-3844-4f02-b1bb-d30104b1c2ef,Tiger Mart #18,81fe20f7-61fd-51da-9026-4b0c5b952713,UberEats
bd30e223-c429-4e0f-9ef5-6f54f2009acc,Tiger Mart #17,bc31efdc-af1a-534d-81d7-e6b9a597acde,UberEats
5cedc522-5ac7-432f-b943-d473fa1cab60,Tiger Mart #16,b9ea3d12-aa0d-51f1-999d-0ab797379817,UberEats
08fae9c7-1d04-48d3-89a5-a9badf2b9e64,Tiger Mart #15,847613d2-4057-5d47-a2bf-f219067c1453,UberEats
0d8a489f-3eeb-4c9e-9247-319b827b1650,Tiger Mart #11,0ae43a4b-cbbe-526d-a505-83e352314bbf,UberEats
9a7c9cd8-518a-4970-b735-08b0ef8e16b6,Tiger Mart #9,224adcd6-ccc1-5ef0-981e-eb4e9f73e75f,UberEats
ca98f07b-83fa-4466-baf6-e13f90d26bc3,Tiger Mart #8,ffee591e-f7af-500d-af38-f8ed1aa1d1bf,UberEats
bd4f9afe-7f49-49c8-a9c3-7e23095b65ce,Tiger Mart #1,2909b3f1-8d67-5757-b19a-4425ef0a19ef,UberEats
c34bc3d3-5fc1-4023-ad1f-6e4282f79be1,University BP Food Mart,71c0c557-88c2-5383-b3b7-afc5e6d12747,UberEats
287f7a2c-6f97-4edd-88a6-9b4928a807c3,Flakesmill Food Store,c7279330-9d85-582c-8415-9a061dbda32b,UberEats
02d87b96-6ce8-4a73-a958-c7ff93eeb019,Mega! CO-OP (2109 Highland Avenue),d6c5845d-8bd4-5c25-95ea-912593ddd498,UberEats
58cac3d8-5b4b-435b-ad37-b17a3df4b267,Mega! CO-OP (2920 Craig Road),e964cfe4-ff31-51f6-8780-fac6cc19dad5,UberEats
3b2c1d2d-a593-4208-bd5d-a7536e4a266a,Mega! CO-OP (5511 State Road 93),7099d607-9807-52a8-86e8-42d8ffa51916,UberEats
67d68aa0-3b6b-495d-920c-be2dab55cc21,Mega! CO-OP (4304 Jeffers Road),9cbe4d04-3976-52f5-ab6c-52c5ed66568a,UberEats
a59044e3-97da-403b-9201-9fae5ce63955,Mega! CO-OP (1433 Commercial Blvd),7fbf7643-72d8-50e5-822a-c454960005d1,UberEats
fdd42bbb-04cd-4d8a-a05c-605e66aaa84c,Mega! CO-OP (2750 120th Street),68c40155-0084-53b6-930c-3fdc0d91bd3f,UberEats
6e7e42b0-4d6d-4d2b-903d-6afa71dc9da7,Mega! CO-OP (1630 E Blaschko Avenue),6512be8c-90c9-5611-b514-167236b5bbb5,UberEats
1d4d9db2-0c8f-4244-92bc-148869c92dbd,Mega! CO-OP (600 Bridge Street),03aacf5a-8f4d-525b-a978-807ad5c3d519,UberEats
7865cfa4-d427-41a9-8f50-c1c03ac1f371,Mega! CO-OP (7 S Mill Street),86ec6811-0ffd-5adc-bae5-0381f5cb2039,UberEats
1d20230e-8f15-427e-ba0f-aacb3e9e6929,Mega! CO-OP (1703 E Bridge Street),1a70dbb0-88e0-5248-a7fd-6cbe4a4c8306,UberEats
8b080f61-1cfc-409c-88f4-2828b1feafc3,Mega! CO-OP (1210 N Division Street),0de3115b-0881-5095-8236-3087369ae620,UberEats
